--- Trace ID: 86f685e2a5f70b88762108c89f43886b ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 36.93 ms | Start Offset: 0.00 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 0.86 ms | Start Offset: 8.99 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.83 ms | Start Offset: 12.31 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 4.28 ms | Start Offset: 12.78 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.54 ms | Start Offset: 14.97 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 2.74 ms | Start Offset: 18.03 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.28 ms | Start Offset: 18.32 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.42 ms | Start Offset: 18.95 ms


--- Trace ID: 462adaaedf15fb194e38cbc3f5047d27 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 35.55 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 11.49 ms | Start Offset: 2.07 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 9.13 ms | Start Offset: 3.72 ms
4.   Service: start-choice-service      | Operation: POST /thirdChoice                        | Duration: 6.20 ms | Start Offset: 5.62 ms
5.   Service: third-choice-service      | Operation: POST /thirdChoice                        | Duration: 3.28 ms | Start Offset: 7.89 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 8.07 ms | Start Offset: 15.08 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 6.55 ms | Start Offset: 16.33 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 4.80 ms | Start Offset: 17.02 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 5.00 ms | Start Offset: 17.62 ms
10.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 2.03 ms | Start Offset: 19.52 ms
11.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.16 ms | Start Offset: 19.52 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 5.40 ms | Start Offset: 24.07 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 4.50 ms | Start Offset: 24.75 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.61 ms | Start Offset: 27.03 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.59 ms | Start Offset: 30.45 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.91 ms | Start Offset: 30.89 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.44 ms | Start Offset: 31.61 ms


--- Trace ID: 41570725deec76a1aa7ed0ee0b039269 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 33.58 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 8.19 ms | Start Offset: 2.33 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 6.30 ms | Start Offset: 3.74 ms
4.   Service: start-choice-service      | Operation: POST /firstChoice                        | Duration: 3.64 ms | Start Offset: 5.56 ms
5.   Service: first-choice-service      | Operation: POST /firstChoice                        | Duration: 1.75 ms | Start Offset: 7.17 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 8.77 ms | Start Offset: 12.58 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 6.56 ms | Start Offset: 14.16 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 5.24 ms | Start Offset: 14.90 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 4.75 ms | Start Offset: 15.57 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.06 ms | Start Offset: 17.55 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 0.91 ms | Start Offset: 17.68 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.97 ms | Start Offset: 23.03 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 3.80 ms | Start Offset: 23.99 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.50 ms | Start Offset: 25.92 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.52 ms | Start Offset: 28.79 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.89 ms | Start Offset: 29.23 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.44 ms | Start Offset: 29.95 ms


--- Trace ID: b040974876c3841f0296487f18681aa1 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 28.79 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 6.74 ms | Start Offset: 1.54 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 5.46 ms | Start Offset: 2.58 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 3.71 ms | Start Offset: 3.74 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 2.21 ms | Start Offset: 5.03 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 8.42 ms | Start Offset: 9.26 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 7.00 ms | Start Offset: 10.28 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 5.69 ms | Start Offset: 11.04 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 4.94 ms | Start Offset: 11.70 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.18 ms | Start Offset: 13.76 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.17 ms | Start Offset: 13.87 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 5.54 ms | Start Offset: 18.81 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 4.88 ms | Start Offset: 19.25 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.39 ms | Start Offset: 21.27 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 2.54 ms | Start Offset: 25.15 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.02 ms | Start Offset: 25.41 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.37 ms | Start Offset: 25.91 ms


--- Trace ID: de481570ff1017ad5ca4fba2504f2c5f ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 134.78 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 117.94 ms | Start Offset: 3.21 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 115.81 ms | Start Offset: 5.10 ms
4.   Service: start-choice-service      | Operation: POST /firstChoice                        | Duration: 106.29 ms | Start Offset: 14.23 ms
5.   Service: first-choice-service      | Operation: POST /firstChoice                        | Duration: 15.52 ms | Start Offset: 105.52 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 5.19 ms | Start Offset: 121.78 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 4.44 ms | Start Offset: 122.41 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 4.00 ms | Start Offset: 122.68 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 2.67 ms | Start Offset: 122.95 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 2.15 ms | Start Offset: 123.91 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.01 ms | Start Offset: 124.03 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 3.22 ms | Start Offset: 127.57 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 2.67 ms | Start Offset: 128.02 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.30 ms | Start Offset: 129.59 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 2.40 ms | Start Offset: 131.35 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.03 ms | Start Offset: 131.59 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.34 ms | Start Offset: 132.06 ms


--- Trace ID: 00601af5d9babbb9283537c4ab7b5cad ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 51.82 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 4.52 ms | Start Offset: 1.22 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 3.41 ms | Start Offset: 2.12 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 1.91 ms | Start Offset: 3.23 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 0.63 ms | Start Offset: 4.38 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 6.36 ms | Start Offset: 6.72 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 5.35 ms | Start Offset: 7.50 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 4.51 ms | Start Offset: 7.93 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 3.82 ms | Start Offset: 8.30 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.17 ms | Start Offset: 9.77 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.00 ms | Start Offset: 9.92 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 32.50 ms | Start Offset: 14.48 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 31.57 ms | Start Offset: 15.23 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.48 ms | Start Offset: 17.64 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 2.93 ms | Start Offset: 47.74 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.45 ms | Start Offset: 48.07 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.45 ms | Start Offset: 48.70 ms


--- Trace ID: 2807788137d19716f01e4934399d9a42 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 41.14 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 9.84 ms | Start Offset: 2.55 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 7.40 ms | Start Offset: 4.18 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 4.14 ms | Start Offset: 6.32 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 1.87 ms | Start Offset: 7.97 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 15.14 ms | Start Offset: 14.50 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 13.12 ms | Start Offset: 16.19 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 7.49 ms | Start Offset: 17.26 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 10.78 ms | Start Offset: 18.11 ms
10.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 6.73 ms | Start Offset: 20.67 ms
11.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 2.68 ms | Start Offset: 20.68 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.62 ms | Start Offset: 31.07 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 3.62 ms | Start Offset: 31.91 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.38 ms | Start Offset: 33.84 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.30 ms | Start Offset: 36.48 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.58 ms | Start Offset: 36.89 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.43 ms | Start Offset: 37.45 ms


--- Trace ID: 8ccbf851715602875b59f283fb1f0655 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 17.70 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 3.53 ms | Start Offset: 0.87 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 2.75 ms | Start Offset: 1.52 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 1.56 ms | Start Offset: 2.36 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 0.66 ms | Start Offset: 3.08 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 3.93 ms | Start Offset: 4.92 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 3.23 ms | Start Offset: 5.47 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 2.77 ms | Start Offset: 5.76 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 2.33 ms | Start Offset: 6.01 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 0.67 ms | Start Offset: 6.98 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 0.48 ms | Start Offset: 7.13 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 3.54 ms | Start Offset: 9.51 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 2.90 ms | Start Offset: 9.95 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.32 ms | Start Offset: 11.43 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 2.77 ms | Start Offset: 13.82 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.26 ms | Start Offset: 14.13 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.38 ms | Start Offset: 14.67 ms


--- Trace ID: 722f20d8e72b3516b26288339c0101c9 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 23.94 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 4.84 ms | Start Offset: 0.91 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 3.88 ms | Start Offset: 1.74 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 2.36 ms | Start Offset: 2.72 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 1.01 ms | Start Offset: 3.82 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 5.95 ms | Start Offset: 6.44 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 4.92 ms | Start Offset: 7.21 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 3.89 ms | Start Offset: 7.71 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 3.69 ms | Start Offset: 8.03 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.02 ms | Start Offset: 9.59 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.02 ms | Start Offset: 9.62 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.92 ms | Start Offset: 13.29 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 4.17 ms | Start Offset: 13.69 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.49 ms | Start Offset: 15.62 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.59 ms | Start Offset: 18.96 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 3.05 ms | Start Offset: 19.33 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.46 ms | Start Offset: 19.93 ms


--- Trace ID: e23242d663f42eb20f87d032dab3728c ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 24.30 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 5.50 ms | Start Offset: 1.09 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 4.54 ms | Start Offset: 1.89 ms
4.   Service: start-choice-service      | Operation: POST /thirdChoice                        | Duration: 2.86 ms | Start Offset: 3.09 ms
5.   Service: third-choice-service      | Operation: POST /thirdChoice                        | Duration: 1.70 ms | Start Offset: 4.05 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 5.85 ms | Start Offset: 7.21 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 4.87 ms | Start Offset: 8.01 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 4.15 ms | Start Offset: 8.44 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 3.70 ms | Start Offset: 8.79 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.33 ms | Start Offset: 10.23 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 1.09 ms | Start Offset: 10.45 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 4.49 ms | Start Offset: 13.98 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 3.72 ms | Start Offset: 14.61 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.40 ms | Start Offset: 16.53 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.45 ms | Start Offset: 19.13 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 2.82 ms | Start Offset: 19.45 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.49 ms | Start Offset: 20.04 ms


--- Trace ID: 9def6d0fc43a41b0a33b3e8074ed5b97 ---
1. Service: users-service             | Operation: POST /reserve                            | Duration: 132.18 ms | Start Offset: 0.00 ms
2.   Service: users-service             | Operation: POST /startChoice                        | Duration: 43.50 ms | Start Offset: 3.53 ms
3.   Service: start-choice-service      | Operation: POST /startChoice                        | Duration: 21.95 ms | Start Offset: 24.82 ms
4.   Service: start-choice-service      | Operation: POST /secondChoice                       | Duration: 15.03 ms | Start Offset: 31.15 ms
5.   Service: second-choice-service     | Operation: POST /secondChoice                       | Duration: 4.35 ms | Start Offset: 41.43 ms
6.   Service: users-service             | Operation: POST /startParallel                      | Duration: 69.24 ms | Start Offset: 49.76 ms
7.   Service: start-parallel-service    | Operation: POST /startParallel                      | Duration: 57.16 ms | Start Offset: 61.58 ms
8.   Service: start-parallel-service    | Operation: FirstParallelService/pass                | Duration: 17.74 ms | Start Offset: 63.25 ms
9.   Service: start-parallel-service    | Operation: SecondParallelService/pass               | Duration: 19.18 ms | Start Offset: 64.98 ms
10.   Service: first-parallel-service    | Operation: FirstParallelService/pass                | Duration: 1.95 ms | Start Offset: 77.74 ms
11.   Service: second-parallel-service   | Operation: SecondParallelService/pass               | Duration: 5.04 ms | Start Offset: 77.86 ms
12.   Service: users-service             | Operation: POST /reservation                        | Duration: 5.55 ms | Start Offset: 120.36 ms
13.   Service: reservation-service       | Operation: POST /reservation                        | Duration: 4.31 ms | Start Offset: 121.47 ms
14.   Service: reservation-service       | Operation: INSERT Reservation                       | Duration: 0.42 ms | Start Offset: 124.28 ms
15.   Service: users-service             | Operation: GET /reservation/all                     | Duration: 3.97 ms | Start Offset: 126.70 ms
16.   Service: reservation-service       | Operation: GET /reservation/all                     | Duration: 3.36 ms | Start Offset: 127.02 ms
17.   Service: reservation-service       | Operation: SELECT Reservation                       | Duration: 0.40 ms | Start Offset: 127.57 ms


Service                   | Operation                                | Mean (ms)    | Variance     | Std Dev      | Coeff of Var
------------------------------------------------------------------------------------------------------------------------
start-parallel-service    | FirstParallelService/pass                | 6.34         | 30.86        | 5.56         | 0.8757      
start-parallel-service    | SecondParallelService/pass               | 5.90         | 25.39        | 5.04         | 0.8540      
start-parallel-service    | POST /startParallel                      | 9.27         | 125.00       | 11.18        | 1.2057      
users-service             | POST /startChoice                        | 15.01        | 531.75       | 23.06        | 1.5363      
users-service             | POST /startParallel                      | 11.24        | 191.94       | 13.85        | 1.2323      
users-service             | POST /reservation                        | 5.86         | 31.05        | 5.57         | 0.9506      
users-service             | GET /reservation/all                     | 3.16         | 0.45         | 0.67         | 0.2113      
users-service             | POST /reserve                            | 41.55        | 1009.85      | 31.78        | 0.7649      
first-parallel-service    | FirstParallelService/pass                | 1.82         | 1.30         | 1.14         | 0.6262      
second-parallel-service   | SecondParallelService/pass               | 1.94         | 2.72         | 1.65         | 0.8523      
reservation-service       | INSERT Reservation                       | 0.43         | 0.01         | 0.11         | 0.2478      
reservation-service       | POST /reservation                        | 5.04         | 30.40        | 5.51         | 1.0943      
reservation-service       | SELECT Reservation                       | 0.45         | 0.01         | 0.10         | 0.2154      
reservation-service       | GET /reservation/all                     | 2.62         | 0.36         | 0.60         | 0.2277      
start-choice-service      | POST /firstChoice                        | 25.24        | 1650.89      | 40.63        | 1.6098      
start-choice-service      | POST /startChoice                        | 12.41        | 481.90       | 21.95        | 1.7688      
first-choice-service      | POST /firstChoice                        | 4.74         | 29.11        | 5.40         | 1.1376      
start-choice-service      | POST /secondChoice                       | 4.75         | 17.76        | 4.21         | 0.8875      
second-choice-service     | POST /secondChoice                       | 2.11         | 1.55         | 1.24         | 0.5904      
start-choice-service      | POST /thirdChoice                        | 7.53         | 28.72        | 5.36         | 0.7120      
third-choice-service      | POST /thirdChoice                        | 2.79         | 2.17         | 1.47         | 0.5279      
